"Customer Name","Location Name","Date","Program Name","Class Name","Component Type","Component ID","Component Name","Component Description","Performance Result Type","Rep Scheme","Fully Formatted Result","From Weightlifting Total","From Variable Set","Is Rx","Is Rx Plus","Is Personal Record","Personal Record Description","Comment"
"CrossFit Yarmouth","CrossFit Yarmouth",06/01/2022,"CrossFit","CrossFit: 4:30 PM","Weightlifting",25,"Bench Press",,"Weight","5-5-3-3-1-1","2 x 1 @ 155 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",03/07/2023,"CrossFit","CrossFit: 4:30 PM","Weightlifting",25,"Bench Press",,"Weight","5x5, all reps @ 80%","5 x 5 @ 135 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 10 lbs vs. 125 on 12/18/2019","Could have done 140 probably "
"CrossFit Yarmouth",,09/14/2023,,,"Weightlifting",25,"Bench Press",,"Weight",,"3 x 5 @ 135 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",06/21/2024,"CrossFit","CrossFit: 12:00 PM","Weightlifting",25,"Bench Press",,"Weight","2-2-4-4-2-2
2's at 95%
4's at 80%","4 x 2 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 1 reps vs. 1 on 10/12/2021"," "
"CrossFit Yarmouth","CrossFit Yarmouth",08/22/2024,"CrossFit","CrossFit: 12:00 PM","Weightlifting",25,"Bench Press",,"Weight","10-10-10","1 x 10 @ 125 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,,"8 at 145"
"CrossFit Yarmouth","CrossFit Yarmouth",09/16/2024,"CrossFit","CrossFit: 12:00 PM","Weightlifting",25,"Bench Press",,"Weight","8-8-8-8","1 x 7 @ 130 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,," "
"CrossFit Yarmouth","CrossFit Yarmouth",09/26/2025,"CrossFit","CrossFit: 12:00 PM","Weightlifting",25,"Bench Press",,"Weight",,"1 x 2 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",09/12/2025,"CrossFit","CrossFit: 4:30 PM","Weightlifting",25,"Bench Press",,"Weight",,"1 x 3 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth",,10/10/2025,,,"Weightlifting",25,"Bench Press",,"Weight",,"2 x 1 @ 175 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 10 lbs vs. 165 on 01/03/2025",
"CrossFit Yarmouth","CrossFit Yarmouth",01/03/2025,"CrossFit","CrossFit: 12:00 PM","Weightlifting",25,"Bench Press",,"Weight",,"1 x 6 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 2 reps vs. 4 on 12/04/2024","Could have done 170. Lots of warm up before."
"CrossFit Yarmouth","CrossFit Yarmouth",12/16/2024,"CrossFit","HOME WOD","Weightlifting",25,"Bench Press",,"Weight",,"2 x 4 @ 160 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 35 lbs vs. 125 on 12/18/2019",
"CrossFit Yarmouth","CrossFit Yarmouth",12/04/2024,"CrossFit","CrossFit: 12:00 PM","Weightlifting",25,"Bench Press",,"Weight","5-5-AMRAP","1 x 4 @ 165 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 2 reps vs. 2 on 06/21/2024","After building up"
"CrossFit Yarmouth","CrossFit Yarmouth",11/30/2022,"CrossFit","CrossFit: 4:30 PM","Weightlifting",27,"Bent Over Row",,"Weight","5x5
Building to a heavy set of 5 bent over barbell rows","5 x 5 @ 125 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,," "
"CrossFit Yarmouth","CrossFit Yarmouth",10/17/2022,"CrossFit","CrossFit: 4:30 PM","Metcon",27575643,"Metcon","For time:
21-15-9:
Front squats (125/185 lb)
DB box step-overs (25/35 lb) (20 in)","Time",,"8:06",FALSE,FALSE,FALSE,FALSE,FALSE,,
